===FLAGS.datasource===: miniimagenet
FLAGS.datasource: miniimagenet
True
Generating filenames
Manipulating image data to be right shape
False
Generating filenames
Manipulating image data to be right shape
image_tensor:  (4, 80, 21168)
Done initializing, starting training.
Iteration 100: 0.2, 0.26833332
Iteration 200: 0.15, 0.34333333
Iteration 300: 0.25, 0.39666665
Iteration 400: 0.35, 0.43666667
Iteration 500: 0.3, 0.44333333
Validation results: 0.2, 0.36333334
Totally results: , 0.3633333444595337
Iteration 600: 0.15, 0.48333335
Iteration 700: 0.1, 0.53666663
Iteration 800: 0.1, 0.48
Iteration 900: 0.1, 0.52
Iteration 1000: 0.2, 0.5133333
Validation results: 0.1, 0.24333334
Totally results: , 0.3033333420753479
Iteration 1100: 0.25, 0.53666663
Iteration 1200: 0.15, 0.5866667
Iteration 1300: 0.1, 0.62
Iteration 1400: 0.1, 0.63
Iteration 1500: 0.1, 0.5933333
Validation results: 0.15, 0.29333335
Totally results: , 0.30000001192092896
Iteration 1600: 0.05, 0.6066667
Iteration 1700: 0.1, 0.66999996
Iteration 1800: 0.2, 0.6833333
Iteration 1900: 0.1, 0.67
Iteration 2000: 0.1, 0.65
Validation results: 0.05, 0.22333333
Totally results: , 0.28083334118127823
Iteration 2100: 0.1, 0.71333337
Iteration 2200: 0.1, 0.7266667
Iteration 2300: 0.15, 0.74
Iteration 2400: 0.15, 0.78
Iteration 2500: 0.15, 0.7933333
Validation results: 0.2, 0.30333334
Totally results: , 0.28533334136009214
Iteration 2600: 0.05, 0.73
Iteration 2700: 0.1, 0.7166667
Iteration 2800: 0.05, 0.72
Iteration 2900: 0.0, 0.7966666
Iteration 3000: 0.05, 0.77666664
Validation results: 0.3, 0.27666667
Totally results: , 0.2838888963063558
Iteration 3100: 0.1, 0.75
Iteration 3200: 0.1, 0.85
Iteration 3300: 0.05, 0.78
Iteration 3400: 0.1, 0.7833333
Iteration 3500: 0.1, 0.78
Validation results: 0.3, 0.21
Totally results: , 0.2733333387545177
Iteration 3600: 0.05, 0.85
Iteration 3700: 0.0, 0.85
Iteration 3800: 0.0, 0.84333336
Iteration 3900: 0.0, 0.8266667
Iteration 4000: 0.05, 0.87333333
Validation results: 0.2, 0.20333332
Totally results: , 0.26458333618938923
Iteration 4100: 0.05, 0.8466667
Iteration 4200: 0.1, 0.85333335
Iteration 4300: 0.1, 0.8833333
Iteration 4400: 0.1, 0.85333335
Iteration 4500: 0.1, 0.9233333
Validation results: 0.15, 0.23333332
Totally results: , 0.26111111210452187
Iteration 4600: 0.2, 0.89666665
Iteration 4700: 0.2, 0.9133333
Iteration 4800: 0.2, 0.88666666
Iteration 4900: 0.2, 0.84333336
Iteration 5000: 0.2, 0.8933333
Validation results: 0.15, 0.29333335
Totally results: , 0.26433333605527876
Iteration 5100: 0.15, 0.9033333
Iteration 5200: 0.1, 0.9233333
Iteration 5300: 0.1, 0.9266667
Iteration 5400: 0.1, 0.93
Iteration 5500: 0.1, 0.93666667
Validation results: 0.3, 0.24
Totally results: , 0.26212121410803363
Iteration 5600: 0.0, 0.88666666
Iteration 5700: 0.0, 0.94
Iteration 5800: 0.0, 0.9066667
Iteration 5900: 0.0, 0.9266666
Iteration 6000: 0.0, 0.93333334
Validation results: 0.15, 0.28
Totally results: , 0.2636111130317052
Iteration 6100: 0.05, 0.9266667
Iteration 6200: 0.05, 0.9266667
Iteration 6300: 0.05, 0.9566667
Iteration 6400: 0.05, 0.93000007
Iteration 6500: 0.05, 0.9766667
Validation results: 0.25, 0.17333335
Totally results: , 0.25666666947878325
Iteration 6600: 0.05, 0.90333337
Iteration 6700: 0.0, 0.94000006
Iteration 6800: 0.0, 0.95000005
Iteration 6900: 0.0, 0.9566667
Iteration 7000: 0.0, 0.93666667
Validation results: 0.3, 0.23333335
Totally results: , 0.25500000374657766
Iteration 7100: 0.15, 0.97
Iteration 7200: 0.15, 0.9566667
Iteration 7300: 0.15, 0.99
Iteration 7400: 0.15, 0.9466667
Iteration 7500: 0.1, 0.95000005
Validation results: 0.2, 0.25333333
Totally results: , 0.2548888921737671
Iteration 7600: 0.05, 0.97
Iteration 7700: 0.05, 0.98
Iteration 7800: 0.05, 0.97
Iteration 7900: 0.05, 0.98
Iteration 8000: 0.05, 0.97
Validation results: 0.0, 0.25666666
Totally results: , 0.255000002682209
Iteration 8100: 0.05, 0.95000005
Iteration 8200: 0.05, 0.9766667
Iteration 8300: 0.05, 0.9866667
Iteration 8400: 0.05, 0.96333337
Iteration 8500: 0.05, 0.93
Validation results: 0.25, 0.21
Totally results: , 0.2523529433152255
Iteration 8600: 0.1, 0.99
Iteration 8700: 0.1, 0.96000004
Iteration 8800: 0.1, 0.98333335
Iteration 8900: 0.1, 0.98333335
Iteration 9000: 0.1, 0.98
Validation results: 0.15, 0.26666665
Totally results: , 0.2531481492850516
Iteration 9100: 0.15, 0.9766667
Iteration 9200: 0.15, 0.96000004
Iteration 9300: 0.15, 0.9566667
Iteration 9400: 0.15, 0.9866667
Iteration 9500: 0.15, 0.99
Validation results: 0.3, 0.25666666
Totally results: , 0.25333333407577713
Iteration 9600: 0.1, 0.9866667
Iteration 9700: 0.1, 0.98333335
Iteration 9800: 0.1, 0.98333335
Iteration 9900: 0.1, 0.99666667
Iteration 10000: 0.1, 0.9866667
Validation results: 0.2, 0.22666667
Totally results: , 0.2520000010728836
Iteration 10100: 0.05, 0.98
Iteration 10200: 0.05, 0.92666674
Iteration 10300: 0.1, 0.90666664
Iteration 10400: 0.05, 0.9566667
Iteration 10500: 0.05, 0.98
Validation results: 0.1, 0.26333332
Totally results: , 0.25253968295596896
Iteration 10600: 0.1, 0.99666667
Iteration 10700: 0.1, 1.0
Iteration 10800: 0.1, 0.99666667
Iteration 10900: 0.1, 0.9766667
Iteration 11000: 0.1, 1.0
Validation results: 0.25, 0.22333333
Totally results: , 0.25121212141080335
Iteration 11100: 0.1, 0.99666667
Iteration 11200: 0.1, 0.99333334
Iteration 11300: 0.1, 0.9866667
Iteration 11400: 0.1, 0.96000004
Iteration 11500: 0.1, 0.9766667
Validation results: 0.25, 0.28666666
Totally results: , 0.25275362315385236
Iteration 11600: 0.1, 0.98333335
Iteration 11700: 0.05, 0.99666667
Iteration 11800: 0.05, 0.99666667
Iteration 11900: 0.05, 1.0
Iteration 12000: 0.05, 1.0
Validation results: 0.4, 0.24
Totally results: , 0.25222222196559113
Iteration 12100: 0.05, 0.99666667
Iteration 12200: 0.1, 1.0
Iteration 12300: 0.1, 0.99666667
Iteration 12400: 0.1, 1.0
Iteration 12500: 0.05, 0.99333334
Validation results: 0.1, 0.25
Totally results: , 0.25213333308696745
Iteration 12600: 0.15, 0.9766667
Iteration 12700: 0.1, 0.9266667
Iteration 12800: 0.1, 0.96333337
Iteration 12900: 0.1, 0.97333336
Iteration 13000: 0.1, 0.99
Validation results: 0.25, 0.24999999
Totally results: , 0.2520512812412702
Iteration 13100: 0.1, 1.0
Iteration 13200: 0.1, 1.0
Iteration 13300: 0.1, 1.0
Iteration 13400: 0.1, 1.0
Iteration 13500: 0.1, 1.0
Validation results: 0.15, 0.22
Totally results: , 0.2508641967067012
Iteration 13600: 0.1, 1.0
Iteration 13700: 0.1, 1.0
Iteration 13800: 0.1, 1.0
Iteration 13900: 0.1, 1.0
Iteration 14000: 0.1, 1.0
Validation results: 0.2, 0.23333332
Totally results: , 0.25023809394666124
Iteration 14100: 0.1, 0.96000004
Iteration 14200: 0.1, 0.9
Iteration 14300: 0.1, 0.98
Iteration 14400: 0.1, 0.99666667
Iteration 14500: 0.1, 1.0
Validation results: 0.1, 0.21666667
Totally results: , 0.24908045859172426
Iteration 14600: 0.1, 1.0
Iteration 14700: 0.1, 1.0
Iteration 14800: 0.1, 1.0
Iteration 14900: 0.1, 1.0
Iteration 15000: 0.1, 1.0
Validation results: 0.2, 0.25333333
Totally results: , 0.2492222209771474
Iteration 15100: 0.05, 1.0
Iteration 15200: 0.05, 1.0
Iteration 15300: 0.05, 1.0
Iteration 15400: 0.05, 1.0
Iteration 15500: 0.05, 0.9433333
Validation results: 0.15, 0.24000001
Totally results: , 0.24892473028552148
Iteration 15600: 0.1, 0.97
Iteration 15700: 0.1, 0.9666667
Iteration 15800: 0.1, 0.98333335
Iteration 15900: 0.1, 0.99666667
Iteration 16000: 0.1, 1.0
Validation results: 0.25, 0.20666666
Totally results: , 0.24760416569188237
Iteration 16100: 0.05, 1.0
Iteration 16200: 0.05, 1.0
Iteration 16300: 0.0, 1.0
Iteration 16400: 0.0, 1.0
Iteration 16500: 0.05, 1.0
Validation results: 0.3, 0.22666666
Totally results: , 0.24696969579566608
Iteration 16600: 0.05, 1.0
Iteration 16700: 0.05, 1.0
Iteration 16800: 0.05, 1.0
Iteration 16900: 0.05, 1.0
Iteration 17000: 0.05, 1.0
Validation results: 0.2, 0.29666665
Totally results: , 0.2484313709770932
Iteration 17100: 0.2, 1.0
Iteration 17200: 0.2, 1.0
Iteration 17300: 0.2, 1.0
Iteration 17400: 0.2, 1.0
Iteration 17500: 0.15, 0.9766667
Validation results: 0.15, 0.26
Totally results: , 0.24876190296241216
Iteration 17600: 0.1, 0.88
Iteration 17700: 0.15, 0.9666667
Iteration 17800: 0.15, 0.9666667
Iteration 17900: 0.2, 0.99666667
Iteration 18000: 0.2, 0.99666667
Validation results: 0.2, 0.24333332
Totally results: , 0.24861110912428963
Iteration 18100: 0.0, 1.0
Iteration 18200: 0.0, 1.0
Iteration 18300: 0.0, 1.0
Iteration 18400: 0.0, 1.0
Iteration 18500: 0.0, 1.0
Validation results: 0.3, 0.22666666
Totally results: , 0.24801801588084246
Iteration 18600: 0.0, 1.0
Iteration 18700: 0.0, 1.0
Iteration 18800: 0.0, 1.0
Iteration 18900: 0.0, 1.0
Iteration 19000: 0.0, 1.0
Validation results: 0.25, 0.22333333
Totally results: , 0.247368418856671
Iteration 19100: 0.0, 1.0
Iteration 19200: 0.0, 1.0
Iteration 19300: 0.0, 1.0
Iteration 19400: 0.0, 1.0
Iteration 19500: 0.0, 1.0
Validation results: 0.2, 0.21333334
Totally results: , 0.24649572448852736
Iteration 19600: 0.1, 1.0
Iteration 19700: 0.1, 1.0
Iteration 19800: 0.1, 1.0
Iteration 19900: 0.1, 1.0
Iteration 20000: 0.1, 0.99666667
Validation results: 0.1, 0.28333333
Totally results: , 0.24741666465997697
Iteration 20100: 0.05, 0.9066667
Iteration 20200: 0.1, 0.9566667
Iteration 20300: 0.0, 0.9866667
Iteration 20400: 0.05, 1.0
Iteration 20500: 0.0, 1.0
Validation results: 0.15, 0.25
Totally results: , 0.2474796728390019
Iteration 20600: 0.05, 1.0
Iteration 20700: 0.05, 1.0
Iteration 20800: 0.05, 1.0
Iteration 20900: 0.05, 1.0
Iteration 21000: 0.05, 1.0
Validation results: 0.25, 0.20333333
Totally results: , 0.24642856951270783
Iteration 21100: 0.1, 1.0
Iteration 21200: 0.1, 1.0
Iteration 21300: 0.1, 1.0
Iteration 21400: 0.1, 1.0
Iteration 21500: 0.1, 1.0
Validation results: 0.35, 0.22333333
Totally results: , 0.24589147089525712
Iteration 21600: 0.15, 1.0
Iteration 21700: 0.15, 1.0
Iteration 21800: 0.15, 1.0
Iteration 21900: 0.15, 1.0
Iteration 22000: 0.15, 1.0
Validation results: 0.35, 0.23666666
Totally results: , 0.2456818162040277
Iteration 22100: 0.1, 1.0
Iteration 22200: 0.1, 1.0
Iteration 22300: 0.1, 1.0
Iteration 22400: 0.1, 1.0
Iteration 22500: 0.1, 1.0
Validation results: 0.2, 0.20666666
Totally results: , 0.24481481280591752
Iteration 22600: 0.05, 1.0
Iteration 22700: 0.05, 1.0
Iteration 22800: 0.05, 1.0
Iteration 22900: 0.05, 1.0
Iteration 23000: 0.05, 1.0
Validation results: 0.1, 0.28333333
Totally results: , 0.2456521719046261
Iteration 23100: 0.0, 0.99666667
Iteration 23200: 0.0, 0.9266667
Iteration 23300: 0.0, 0.96333337
Iteration 23400: 0.0, 0.99666667
Iteration 23500: 0.0, 1.0
Validation results: 0.35000002, 0.22333333
Totally results: , 0.24517730290585377
Iteration 23600: 0.05, 1.0
Iteration 23700: 0.05, 1.0
Iteration 23800: 0.05, 1.0
Iteration 23900: 0.05, 1.0
Iteration 24000: 0.05, 1.0
Validation results: 0.25, 0.25333333
Totally results: , 0.24534722014019886
Iteration 24100: 0.05, 1.0
Iteration 24200: 0.05, 1.0
Iteration 24300: 0.05, 1.0
Iteration 24400: 0.05, 1.0
Iteration 24500: 0.05, 1.0
Validation results: 0.35000002, 0.24333332
Totally results: , 0.2453061202350928
Iteration 24600: 0.05, 1.0
Iteration 24700: 0.1, 1.0
Iteration 24800: 0.05, 1.0
Iteration 24900: 0.05, 1.0
Iteration 25000: 0.05, 1.0
Validation results: 0.25, 0.20333333
Totally results: , 0.24446666449308396
Iteration 25100: 0.1, 1.0
Iteration 25200: 0.2, 1.0
Iteration 25300: 0.15, 1.0
Iteration 25400: 0.2, 1.0
Iteration 25500: 0.15, 1.0
Validation results: 0.2, 0.25666666
Totally results: , 0.24470588009731442
Iteration 25600: 0.15, 1.0
Iteration 25700: 0.15, 1.0
Iteration 25800: 0.2, 1.0
Iteration 25900: 0.15, 0.93
Iteration 26000: 0.1, 0.95000005
Validation results: 0.1, 0.17666666
Totally results: , 0.24339743359730795
Iteration 26100: 0.05, 1.0
Iteration 26200: 0.05, 1.0
Iteration 26300: 0.05, 1.0
Iteration 26400: 0.05, 1.0
Iteration 26500: 0.05, 1.0
Validation results: 0.3, 0.26999998
Totally results: , 0.24389936845257598
Iteration 26600: 0.15, 1.0
Iteration 26700: 0.15, 1.0
Iteration 26800: 0.15, 1.0
Iteration 26900: 0.15, 1.0
Iteration 27000: 0.15, 1.0
Validation results: 0.15, 0.22666667
Totally results: , 0.24358024448156357
Iteration 27100: 0.15, 1.0
Iteration 27200: 0.15, 1.0
Iteration 27300: 0.15, 1.0
Iteration 27400: 0.15, 1.0
Iteration 27500: 0.15, 1.0
Validation results: 0.2, 0.23666666
Totally results: , 0.24345454302701083
Iteration 27600: 0.0, 1.0
Iteration 27700: 0.0, 1.0
Iteration 27800: 0.0, 1.0
Iteration 27900: 0.0, 1.0
Iteration 28000: 0.0, 1.0
Validation results: 0.3, 0.21666667
Totally results: , 0.24297618812748364
Iteration 28100: 0.2, 1.0
Iteration 28200: 0.2, 1.0
Iteration 28300: 0.2, 1.0
Iteration 28400: 0.2, 1.0
Iteration 28500: 0.2, 1.0
Validation results: 0.15, 0.21666665
Totally results: , 0.24251461734897212
Iteration 28600: 0.05, 1.0
Iteration 28700: 0.05, 1.0
Iteration 28800: 0.05, 1.0
Iteration 28900: 0.05, 1.0
Iteration 29000: 0.05, 1.0
Validation results: 0.25, 0.25333333
Totally results: , 0.24270114688010053
Iteration 29100: 0.05, 1.0
Iteration 29200: 0.05, 1.0
Iteration 29300: 0.05, 1.0
Iteration 29400: 0.05, 1.0
Iteration 29500: 0.05, 1.0
Validation results: 0.2, 0.23333332
Totally results: , 0.24254237014358326
Iteration 29600: 0.15, 0.8833333
Iteration 29700: 0.15, 0.96333337
Iteration 29800: 0.15, 0.99666667
Iteration 29900: 0.15, 1.0
Iteration 30000: 0.15, 1.0
Validation results: 0.1, 0.22999999
Totally results: , 0.2423333304623763
Iteration 30100: 0.15, 1.0
Iteration 30200: 0.15, 1.0
Iteration 30300: 0.15, 1.0
Iteration 30400: 0.15, 1.0
Iteration 30500: 0.15, 1.0
Validation results: 0.35000002, 0.24666665
Totally results: , 0.24240436856863928
Iteration 30600: 0.0, 1.0
Iteration 30700: 0.0, 1.0
Iteration 30800: 0.05, 1.0
Iteration 30900: 0.0, 1.0
Iteration 31000: 0.0, 1.0
Validation results: 0.2, 0.20333333
Totally results: , 0.2417741905777685
Iteration 31100: 0.0, 1.0
Iteration 31200: 0.0, 1.0
Iteration 31300: 0.0, 1.0
Iteration 31400: 0.0, 1.0
Iteration 31500: 0.0, 1.0
Validation results: 0.25, 0.21666667
Totally results: , 0.24137565848373232
Iteration 31600: 0.05, 1.0
Iteration 31700: 0.05, 1.0
Iteration 31800: 0.0, 1.0
Iteration 31900: 0.0, 1.0
Iteration 32000: 0.0, 1.0
Validation results: 0.3, 0.25666666
Totally results: , 0.2416145803872496
Iteration 32100: 0.1, 1.0
Iteration 32200: 0.1, 1.0
Iteration 32300: 0.1, 1.0
Iteration 32400: 0.1, 1.0
